City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Boende,-0.2167,20.8667,71.26,97,100,4.03,CD,1669062227
1,Yellowknife,62.456,-114.3525,28.92,93,75,4.61,CA,1669062264
2,Zemio,5.0314,25.1361,74.8,45,80,1.25,CF,1669062496
3,Klaebu,63.2976,10.4826,28.63,74,100,4.79,NO,1669062497
4,Kapaa,22.0752,-159.319,82.38,70,0,18.41,US,1669062498
5,Asyut,27.181,31.1837,70.79,32,5,7.47,EG,1669062499
6,Bengkulu,-3.8004,102.2655,74.17,90,77,5.12,ID,1669062503
7,Rikitea,-23.1203,-134.9692,72.05,85,86,10.18,PF,1669062504
8,Georgetown,5.4112,100.3354,82.24,89,20,4.61,MY,1669062505
9,Punta Arenas,-53.15,-70.9167,53.62,81,100,3.44,CL,1669062259
10,Vaini,-21.2,-175.2,80.76,78,20,6.91,TO,1669062506
11,Krasnoarmeysk,51.0239,45.6969,33.21,100,100,9.78,RU,1669062507
12,Himensulan,10.5967,124.2821,76.86,78,98,11.05,PH,1669062508
13,Mataura,-46.1927,168.8643,55.47,67,68,5.7,NZ,1669062508
14,Sabya,17.1495,42.6254,82.02,63,0,3.69,SA,1669062510
15,Dikson,73.5069,80.5464,-24.45,95,7,4.09,RU,1669062510
16,Ler,8.3018,30.1418,80.19,36,2,2.8,SS,1669062511
17,Port Macquarie,-31.4333,152.9167,58.23,46,3,10.71,AU,1669062512
18,Kaitangata,-46.2817,169.8464,57.92,58,63,4.41,NZ,1669062512
19,Dera Bugti,29.0307,69.151,65.62,24,0,6.06,PK,1669062513
20,Mar Del Plata,-38.0023,-57.5575,61.09,88,100,19.57,AR,1669062514
21,Barrow,71.2906,-156.7887,17.62,79,100,20.71,US,1669062514
22,Saskylakh,71.9167,114.0833,-33.03,100,69,5.06,RU,1669062515
23,Sagana,-0.6667,37.2,62.82,96,100,2.46,KE,1669062516
24,Chiang Khong,20.2613,100.4046,68.7,99,22,1.48,TH,1669062517
25,Pangody,65.85,74.4859,-9.06,93,99,17.02,RU,1669062517
26,Busselton,-33.65,115.3333,54.95,72,0,13.04,AU,1669062518
27,Mount Isa,-20.7333,139.5,74.97,23,100,10.36,AU,1669062519
28,Grindavik,63.8424,-22.4338,43.27,87,40,20.71,IS,1669062494
29,Diego De Almagro,-26.3667,-70.05,79.47,22,0,12.91,CL,1669062521
30,Hilo,19.7297,-155.09,76.62,80,75,5.75,US,1669062330
31,Robstown,27.7903,-97.6689,47.98,100,100,16.11,US,1669062522
32,Gat,31.61,34.7642,69.82,49,74,1.19,IL,1669062364
33,Bluff,-46.6,168.3333,55.8,69,79,8.41,NZ,1669062523
34,Ushuaia,-54.8,-68.3,55.06,54,75,5.75,AR,1669062524
35,Arraial Do Cabo,-22.9661,-42.0278,76.96,78,40,23.02,BR,1669062254
36,Qaanaaq,77.484,-69.3632,-7.19,76,98,6.44,GL,1669062525
37,Brownfield,33.1812,-102.2744,57.94,34,0,5.06,US,1669062526
